"File","Rows","Purpose"
"01_scenario_inputs.csv",3,"Illustrative scenario inputs used in the revised analysis, in 2014 USD."
"02_primary_scenario_totals.csv",3,"Primary results: three scenarios, 95% conditional success, 5% discount rate, annual-independent sampling."
"03_primary_scenario_yearly.csv",30,"Year-by-year version of the primary results."
"04_uncertainty_structure_sensitivity.csv",6,"Comparison of fixed-horizon parameter uncertainty with independent annual variation."
"05_conditional_success_sensitivity.csv",36,"Conditional mediation success from 75% to 100%, including the 95% primary value."
"06_discount_rate_sensitivity.csv",18,"Monetary discount rates of 3%, 5%, and 8%; time remains undiscounted."
"07_resolution_ceiling_sensitivity.csv",4,"High-scenario final mediation-resolution share of 60% versus the unchanged 75% value."
"08_illustrative_case_mix_sensitivity.csv",6,"Illustrative selection check using paired trial cost/time multipliers of 0.50, 0.75, and 1.00."
"09_one_way_sensitivity_driver_ranking.csv",4,"High-scenario one-way ranking across the tested sensitivity ranges."
"10_convergence_results.csv",15,"Monte Carlo convergence at 1,000 to 20,000 iterations."
"11_all_model_run_totals.csv",73,"Every total-level model run in one file."
"12_all_model_run_yearly_results.csv",730,"Every year-level result for every model run in one file."
"13_validation_checks.csv",14,"Automated arithmetic, direction, reconciliation, and convergence checks."
